source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06e61d_078337-2026,GPR surveys at Stansfield Road and Wheldale Farm,"GPR surveys at Stansfield Road and Wheldale Farm- Ground Penetrating Radar surveys to confirm the findings of the Archaeological Heirtage Risk Assessments by confirming the presence or lack thereof, of any archaeological remains",The Council of the City of Wakefield,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078337-2026,2026-08-18T07:34:41.206813+00:00
FTS,ocds-h6vhtk-06e61c_078336-2026,Foundations Leadership Course,Management 3.0 Foundations Leadership Course,Met Office,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078336-2026,2026-08-18T07:34:41.206846+00:00
FTS,ocds-h6vhtk-06e61b_078335-2026,Ambient Voice Technology - Pilot,Provision of an AI scribing tool utilising ambient voice technology with additional allied functionality - extended pilot phase following conclusion of initial FOC pilot exercise.,United Lincolnshire Teaching Hospitals NHS Trust,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078335-2026,2026-08-18T07:34:41.206852+00:00
FTS,ocds-h6vhtk-054eab_078334-2026,Intravenous Cannula and Associated Products,"Peripheral Intravenous Cannulas and related products are short-term devices used to access veins for fluid or medication delivery and blood sampling. They come in various forms including safety and non-safety, winged, ported, and straight. These devices are not intended for central vein access. 
Also included in the scope of the procurement are:
•	Subcutaneous infusion sets 
•	Metal needle winged devices with extension
•	Safety Integrated Cannula (also referred to as closed loop systems)
•	Safet",SUPPLY CHAIN COORDINATION LIMITED,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078334-2026,2026-08-18T07:34:41.206857+00:00
FTS,ocds-h6vhtk-067dae_078333-2026,SCAPE Defence and Complex Environments Framework,"Following positive market feedback and strong interest expressed during engagement activities for SCAPE's next generation Construction Works and Services Framework, SCAPE is considering establishing a new framework for the provision of construction works and services within complex environments, including but not limited to the Defence sector, across England, Wales, Scotland and Northern Ireland. 
SCAPE will continue to undertake market engagement activities to inform the development of the fram",SCAPE PROCURE LIMITED,,8500000000.0,GBP,2026-08-18,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/078333-2026,2026-08-18T07:34:41.206862+00:00
FTS,ocds-h6vhtk-06e61a_078332-2026,Replacement heat exchanger and associated parts,1646 - Replacement heat exchanger and associated parts for chiller CAM43536,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078332-2026,2026-08-18T07:34:41.206867+00:00
FTS,ocds-h6vhtk-06e619_078331-2026,PPA - National Recruitment: Situational Judgment Testing 26/27,"An agreement with Pearson Professional Assessments for the continued delivery of the Multi-Specialty Recruitment Assessment (MSRA) and associated assessment services. 
The initial term of this agreement will run for a period of 12 months, with an optional 12 month extension.",NHS England,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078331-2026,2026-08-18T07:34:41.206872+00:00
FTS,ocds-h6vhtk-06e618_078330-2026,Project Management Resources,1641 - provision of a Project Management Resources,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078330-2026,2026-08-18T07:34:41.206884+00:00
FTS,ocds-h6vhtk-06e617_078329-2026,"FACILITY MANAGEMENT & MAINTENANCE SERVICES FOR THE BRITISH COUNCIL INDIA (BCD, BCE & BCMS)","Facility management and maintenance Services for India Offices. British Council for the provision of a range of facilities management services across all our sites in India. We are seeking qualified and experienced provider(s) to deliver a range of services, including Facilities Management(MEP) & Housekeeping .",British Council,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078329-2026,2026-08-18T07:34:41.206890+00:00
FTS,ocds-h6vhtk-06d652_078328-2026,Supply of 6 x Battery Powered PPV fans,Contract for 6 x battery powered PPV fans awarded after a Constitutionally compliant waiver process completed following identification that the total spend just exceeded the threshold for transparency publication under PA23. The fans selected have been trialled previously by ESFRS and are in use by neighbouring  services ensuring better collaborative deployment.,East Sussex Fire Authority,,,GBP,2026-08-18,,award,complete,,https://www.find-tender.service.gov.uk/Notice/078328-2026,2026-08-18T07:34:41.206894+00:00
